index,input_TL,output_han,output_TL,option
55,ahbia,鴨咪仔,ah-bî-á,
56,ahbo,鴨母,ah-bó,
57,ahbor,鴨母,ah-bó,
58,ahbote,鴨母蹄,ah-bó-tê,
59,ahbotshui,鴨母喙,ah-bó-tshuì,
60,ahbu,鴨母,ah-bó,
61,ahbue,猶未,iáu-buē/iáu-bē,
62,ahbute,鴨母蹄,ah-bó-tê,
63,ahbutshui,鴨母喙,ah-bó-tshuì,
64,ahhian,鴨羶,ah-hiàn,
65,ahhing,鴨雄,,
66,ahhinga,鴨雄仔,ah-hîng-á,
67,ahhingasiann,鴨雄仔聲,,
68,ahiann,阿兄,a-hiann,
69,ahkak,鴨角,,
70,ahkak,鴨鵤,ah-kak,
71,ahkaka,鴨角仔,,
72,ahkh,紅葉溪,Âng-hio̍h-khe,附錄
73,ahkoh,猶閣,iáu-koh,
74,ahkohteh,猶閣咧,iáu-koh teh,
75,ahmko,猶毋過,iáu-m̄-koh,
76,ahnng,鴨卵,ah-nn̄g,
77,aho,也好,iā-hó,
78,ahpa,壓霸,ah-pà,
79,ahpoa,鴨婆仔,,
80,ahs,紅葉山,Âng-hio̍h-suann,附錄
81,ahsai,曷使,a̍h-sái,
82,ahsang,押送,ah-sàng,
83,ahsi,抑是,ia̍h-sī,
84,ahsi,猶是,iáu sī,
85,ahsiunn,鴨鯗,ah-siúnn,
86,aht,後現代,,
87,ahtioh,曷著,a̍h-tio̍h,
88,ahtsh,紅莧菜,âng-hīng-tshài,
89,ahtsha,紅瓦厝仔,Âng-hiā-tshù-á,附錄
90,ahtsiang,鴨掌,ah-tsiúnn,
91,ahtsiunn,鴨掌,ah-tsiúnn,
92,ahu,阿府,,
93,ahun,押韻,ah-ūn,
94,ai,阿姨,a-î,
95,aia,紅嬰仔,âng-enn-á/âng-inn-á,
96,aia,噯仔,ài-á,
97,aian,亞鉛,a-iân,
98,aianphiann,亞鉛鉼,a-iân-phiánn,
99,aiansuann,亞鉛線,a-iân-suànn,
100,aigin,愛人,,
101,aihiah,哎呀,,
102,aihioh,哎喲,,
103,aihoo,愛護,ài-hōo,
104,aiioue,哎喲喂,ai-iō-uê,
105,aijin,愛人,,
106,aijina,愛人仔,ài-jîn-á/ài-lîn-á,
107,aikhau,愛哭,ài-khàu,
108,aikhun,愛睏,ài-khùn,
109,aikhunioha,愛睏藥仔,ài-khùn-io̍h-á,
110,aikhuntshau,愛睏草,,
111,aikiau,愛嬌,ài-kiau,
112,aikiu,哀求,ai-kiû,
113,aikok,愛國,ài-kok,
114,ailiaue,隘寮下,Ài-liâu-ē,附錄
115,ailiaukhe,隘寮溪,Ài-liâu-khe,附錄
116,ailin,愛人,,
117,ailina,愛人仔,ài-jîn-á/ài-lîn-á,
118,aimai,曖昧,ài-māi,
119,ainngina,偝囡仔,,
120,ainnkin,偝巾,āinn-kin/iāng-kun,
121,aipekiobo,哀爸叫母,ai-pē-kiò-bú,
122,aipekiobu,哀爸叫母,ai-pē-kiò-bú,
123,aiph,亞鉛鉼,a-iân-phiánn,
124,ais,亞鉛線,a-iân-suànn,
125,aisim,愛心,ài-sim,
126,aisioh,愛惜,ài-sioh,
127,aisiong,哀傷,ai-siong,
128,aisui,愛媠,ài-suí,
129,aits,紅藥水,âng-io̍h-tsuí,
130,aitsing,愛情,ài-tsîng,
131,aiu,哎喲喂,ai-iō-uê,
132,aiuan,哀怨,ai-uàn,
133,aja,後日仔,,
134,aja,俺二仔,,
135,aja,愛人仔,ài-jîn-á/ài-lîn-á,
136,aka,尪公仔,,
137,aka,阿姑仔,,
138,aka,暗間仔,àm-king-á,
139,aka,醃瓜仔,,
140,aka,頷頸仔,,
141,aka,鴨角仔,,
142,aka,𧌄胿仔,,
143,akak,紅龜仔粿,,
144,akau,阿猴,A-kâu,附錄
145,akg,後個月,āu kò gue̍h/āu kò ge̍h,
146,akhia,愛睏藥仔,ài-khùn-io̍h-á,
147,akhkh,後堀溪,Āu-khut-khe,附錄
148,akhoo,沃雨,ak-hōo,
149,akhtsh,愛睏草,,
150,akhue,沃花,ak-hue,
151,akim,阿妗,a-kīm,
152,akk,紅記記,âng-kì-kì,
153,akk,紅絳絳,âng-kòng-kòng,
154,akk,紅龜粿,âng-ku-kué/âng-ku-ké,
155,akk,掩咯家,,
156,akk,掩咯雞,ng-ko̍k-ke/ng-ko̍k-kue,
157,akkh,庵古坑,Am-kóo-khenn,附錄
158,akn,頷頸領,,附錄
159,akoh,猶閣,iáu-koh,
160,akohteh,猶閣咧,iáu-koh teh,
161,akong,阿公,a-kong,
162,akongtiam,阿公店,,附錄
163,akongtiamkhe,阿公店溪,A-kong-tiàm-khe,附錄
164,akoo,阿姑,a-koo,
165,akooa,阿姑仔,,
166,akpui,沃肥,ak-puî,
167,akt,尪架桌,ang-kè-toh,
168,akt,阿公店,,附錄
169,akt,猶閣咧,iáu-koh teh,
170,aktam,沃澹,ak-tâm,
171,aktkh,阿公店溪,A-kong-tiàm-khe,附錄
172,akts,暗光鳥,àm-kong-tsiáu,
173,aktsak,齷齪,ak-tsak,
174,aktsh,漚鹹菜,au-kiâm-tshài,
175,aktshiu,握手,ak-tshiú,
176,aktshtsh,紅膏赤蠘,âng-ko-tshiah-tshi̍h,
177,aktsui,沃水,ak-tsuí,
178,aku,阿舅,a-kū,
179,akun,亞軍,a-kun,
180,ala,愛人仔,ài-jîn-á/ài-lîn-á,
181,ala,紅橐仔,,
182,ale,隘寮下,Ài-liâu-ē,附錄
183,alh,后里鄉,,附錄
184,alh,阿蓮鄉,,附錄
185,alh,紅鰱魚,âng-liân-hî/âng-liân-hû,
186,alianhiong,阿蓮鄉,,
187,aliansia,阿嗹社,A-lian-siā,附錄
188,alikang,阿里港,A-lí-káng,附錄
189,alikuan,阿里關,A-lí-kuan,附錄
190,alilong,阿里壟,A-lí-lóng,附錄
191,aliputtat,阿里不達,a-lí-put-ta̍t,
192,alisan,阿里山,A-lí-san,附錄
193,alisanhiong,阿里山鄉,A-lí-san-hiong,附錄
194,alisansuann,阿里山線,A-lí-san-suànn,附錄
195,alk,阿里港,A-lí-káng,附錄
196,alk,阿里關,A-lí-kuan,附錄
197,alkh,安南區,An-lâm-khu,附錄
198,alkh,安樂區,An-lo̍k-khu,附錄
199,alkh,後龍溪,Āu-lâng-khe,附錄
200,alkh,隘寮溪,Ài-liâu-khe,附錄
201,all,阿里壟,A-lí-lóng,附錄
202,alpa,紅蘿蔔仔,,附錄
203,alpt,阿里不達,a-lí-put-ta̍t,
204,als,阿里山,A-lí-san,附錄
205,als,阿嗹社,A-lian-siā,附錄
206,alsh,阿里山鄉,A-lí-san-hiong,附錄
207,alss,阿里山線,A-lí-san-suànn,附錄
208,alt,後龍鎮,Āu-lâng-tìn,附錄
209,alts,紅露酒,âng-lōo-tsiú,
210,am,阿姆,a-ḿ,
211,ama,阿媽,a-má,
212,ama,泔糜仔,ám-muê-á/ám-bê-á,
213,ama,𧌄梅仔,,
214,amakun,頷仔頸,,
215,amam,暗暗,,
216,amania,頷仔領,,
217,ambea,泔糜仔,ám-muê-á/ám-bê-á,
218,ambinbong,暗眠摸,àm-bîn-bong,
219,ambokbok,暗漠漠,àm-bo̍k-bo̍k,
220,ambue,𧌄梅,,
221,ambuea,𧌄梅仔,,
222,amhing,暗行,àm-hīng,
223,amho,暗號,àm-hō,
224,amhong,暗訪,àm-hóng,
225,amhoo,掩護,iám-hōo,
226,amk,紅毛港,Âng-mn̂g-káng,附錄
227,amk,猶毋過,iáu-m̄-koh,
228,amkau,涵溝,âm-kau,
229,amkham,掩崁,am-khàm,
230,amkham,暗崁,àm-khàm,
231,amkhang,涵空,âm-khang,
232,amkin,頷巾,ām-kin/ām-kun,
233,amkinga,暗間仔,àm-king-á,
234,amkng,醃缸,am-kng,
235,amkng,盦缸,,
236,amko,猶毋過,iáu-m̄-koh,
237,amkokke,掩咯家,,
238,amkokke,掩咯雞,ng-ko̍k-ke/ng-ko̍k-kue,
239,amkokkue,掩咯雞,ng-ko̍k-ke/ng-ko̍k-kue,
240,amkongtsiau,暗光鳥,àm-kong-tsiáu,
241,amkookhenn,庵古坑,Am-kóo-khenn,附錄
242,amkuaia,𧌄胿仔,,附錄
243,amkue,醃瓜,am-kue,
244,amkuea,醃瓜仔,,
245,amkui,頷胿,,
246,amkun,頷巾,ām-kin/ām-kun,
247,amkun,頷頸,ām-kún,
248,amkuna,頷頸仔,,
249,amkunnia,頷頸領,,
250,amloo,暗路,àm-lōo,
251,amme,暗暝,,
252,ammi,暗暝,,
253,ammuaia,泔糜仔,ám-muê-á/ám-bê-á,
254,ammuea,泔糜仔,ám-muê-á/ám-bê-á,
255,ammuia,𧌄梅仔,,
256,amnia,頷領,ām-niá,
257,amoha,暗學仔,àm-o̍h-á,
258,ampan,暗班,àm-pan,
259,ampang,暗房,àm-pâng,
260,ampng,暗飯,àm-pn̄g,
261,ampoo,暗步,àm-pōo,
262,ampootse,𧌄蜅蠐,am-poo-tsê,
263,ampootsea,𧌄蜅蠐仔,,
264,ampootshe,𧌄蜅蠐,am-poo-tsê,
265,amsam,暗毿,àm-sàm,
266,amsampenn,暗毿病,àm-sàm-pēnn/àm-sàm-pīnn,
267,amsampinn,暗毿病,àm-sàm-pēnn/àm-sàm-pīnn,
268,amsat,暗殺,àm-sat,
269,amse,頷垂,ām-sê,
270,amsea,頷垂仔,,
271,amsi,暗示,àm-sī,
272,amsi,暗時,àm-sî,
273,amsia,暗時仔,,
274,amsik,暗色,àm-sik,
275,amsoso,暗趖趖,àm-sô-sô,
276,amtam,暗淡,àm-tām,
277,amtea,暗袋仔,àm-tē-á,
278,amth,紅毛塗,âng-mn̂g-thôo,
279,amthaua,暗頭仔,àm-thâu-á,
280,amtiong,暗中,àm-tiong,
281,amtng,暗頓,àm-tǹg,
282,amtsam,腌臢,a-tsa,
283,amtsh,紅毛田,Âng-môo-tshân,附錄
284,amtshi,頷腮,ām-tshi,
285,amtsu,暗自,,
286,amuia,𧌄蝛仔,,
287,ana,紅娘仔,,
288,ana,俺娘仔,,
289,anbeh,按脈,àn-me̍h,
290,anbin,安眠,an-bîn,
291,anbu,俺母,,
292,anga,尪仔,ang-á,
293,anga,甕仔,,
294,angabin,尪仔面,ang-á-bīn,
295,angaboo,翁仔某,,
296,angamih,尪仔物,ang-á-mi̍h/ang-á-mn̍gh,
297,angamngh,尪仔物,ang-á-mi̍h/ang-á-mn̍gh,
298,angaphiau,尪仔標,ang-á-phiau,
299,angathau,尪仔頭,ang-á-thâu,
300,angatsheh,尪仔冊,ang-á-tsheh,
301,angatsir,尪仔書,,
302,angatsu,尪仔書,,
303,angbahli,紅肉李,âng-bah-lí,
304,angbak,紅目,âng-ba̍k,
305,angbakkinn,紅目墘,âng-ba̍k-kînn,
306,angbaklian,紅目鰱,âng-ba̍k-liân,
307,angbetang,紅尾冬,âng-bué-tang/âng-bé-tang,
308,angbin,紅面,âng-bīn,
309,angbinah,紅面鴨,âng-bīn-ah,
310,angboo,翁某,ang-bóo,
311,angbuetang,紅尾冬,âng-bué-tang/âng-bé-tang,
312,angbunthoo,紅毛塗,âng-mn̂g-thôo,
313,angenna,紅嬰仔,âng-enn-á/âng-inn-á,
314,angge,紅牙,âng-gê,
315,angguasuann,紅外線,âng-guā-suànn,
316,anghiatshua,紅瓦厝仔,Âng-hiā-tshù-á,附錄
317,anghingtshai,紅莧菜,âng-hīng-tshài,
318,anghiohkhe,紅葉溪,Âng-hio̍h-khe,附錄
319,anghiohsuann,紅葉山,Âng-hio̍h-suann,附錄
320,angi,尪姨,ang-î,
321,angi,紅姨,,
322,angiah,按額,àn-gia̍h,
323,anginn,紅姨,,
324,anginn,紅嬰,,
325,anginna,紅嬰仔,âng-enn-á/âng-inn-á,
326,angiohtsui,紅藥水,âng-io̍h-tsuí,
327,angkam,紅魽,âng-kam,
328,angketoh,尪架桌,ang-kè-toh,
329,angkhi,紅柿,âng-khī,
330,angkiki,紅記記,âng-kì-kì,
331,angkirn,偝巾,āinn-kin/iāng-kun,
332,angkonga,尪公仔,,
333,angkongkong,紅絳絳,âng-kòng-kòng,
334,angkotshiahtshih,紅膏赤蠘,âng-ko-tshiah-tshi̍h,
335,angku,紅龜,âng-ku,
336,angkuake,紅龜仔粿,,
337,angkue,紅瓜,,
338,angkuke,紅龜粿,âng-ku-kué/âng-ku-ké,
339,angkuker,紅龜粿,âng-ku-kué/âng-ku-ké,
340,angkukue,紅龜粿,âng-ku-kué/âng-ku-ké,
341,angli,紅利,âng-lī,
342,anglianhi,紅鰱魚,âng-liân-hî/âng-liân-hû,
343,anglianhu,紅鰱魚,âng-liân-hî/âng-liân-hû,
344,angloka,紅橐仔,,
345,anglokpoka,紅蘿蔔仔,,
346,anglootsiu,紅露酒,âng-lōo-tsiú,
347,angmngkang,紅毛港,Âng-mn̂g-káng,附錄
348,angmngthoo,紅毛塗,âng-mn̂g-thôo,
349,angmoothoo,紅毛塗,âng-mn̂g-thôo,
350,angmootshan,紅毛田,Âng-môo-tshân,附錄
351,angniua,紅娘仔,,附錄
352,angpai,紅牌,âng-pâi,
353,angpau,紅包,âng-pau,
354,angphinn,齆鼻,àng-phīnn,
355,angphinnsiann,齆鼻聲,àng-phīnn-siann,
356,angsai,翁婿,ang-sài,
357,angsiann,齆聲,àng-siann,
358,angsik,紅色,âng-sik,
359,angsio,紅燒,âng-sio,
360,angsipgihue,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
361,angsipjihe,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
362,angsipjihue,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
363,angsiplihe,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
364,angsiplihue,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
365,angtau,紅豆,,
366,angtaua,紅豆仔,âng-tāu-á,
367,angte,紅茶,âng-tê,
368,angthausu,紅頭嶼,Âng-thâu-sū,附錄
369,angthausuann,紅頭山,Âng-thâu-suann,附錄
370,angthiapa,紅帖仔,âng-thiap-á,
371,angthoo,紅塗,âng-thôo,
372,angting,紅燈,,
373,angtoo,甕肚,àng-tōo,
374,angtsau,紅糟,âng-tsau,
375,angtshai,紅菜,âng-tshài,
376,angtshai,紅綵,âng-tshái,
377,angtshaisik,紅菜色,,
378,angtshaithau,紅菜頭,âng-tshài-thâu,
379,angtshangathau,紅蔥仔頭,âng-tshang-á-thâu,
380,angtshangthau,紅蔥頭,,
381,angtshiuna,紅樹林,Âng-tshiū-nâ,附錄
382,angtsim,紅蟳,âng-tsîm,
383,angtsiu,紅酒,âng-tsiú,
384,angtso,紅棗,âng-tsó,
385,anha,按下,àn-hā,
386,anhu,安撫,,
387,anhun,安份,an-hūn,
388,ania,阿娘,a-niâ,
389,aniong,安養,an-ióng,
390,aniunn,安養,an-ióng,
391,anjia,俺二仔,,
392,anjian,安然,,
393,anka,安家,an-ka,
394,anke,安家,an-ka,
395,ankhong,安康,,
396,ankiann,案件,àn-kiānn,
397,ankong,俺公,,
398,anlamkhu,安南區,An-lâm-khu,附錄
399,anle,案例,àn-lē,
400,anling,安寧,an-lîng,
401,anling,安靈,an-lîng,
402,anlokkhu,安樂區,An-lo̍k-khu,附錄
403,anma,俺媽,,附錄
404,anmeh,按脈,àn-me̍h,
405,anna,按怎,,
406,anne,按呢,,
407,anni,按呢,,
408,anniaa,俺娘仔,,
409,annio,向腰,ànn-io,
410,annpiann,餡餅,ānn-piánn,
411,annua,按怎,,
412,anpa,俺爸,,
413,anpai,安排,an-pâi,
414,anpe,俺爸,,
415,anphiann,亞鉛鉼,a-iân-phiánn,
416,anpingkhu,安平區,An-pîng-khu,附錄
417,anpingtin,安平鎮,An-pîng-tìn,附錄
418,ansi,按時,àn-sî,
419,ansiang,安詳,an-siông,
420,ansiau,限數,ān-siàu,
421,ansim,安心,an-sim,
422,ansin,安身,an-sin,
423,ansiong,安詳,an-siông,
424,ansng,按算,,
425,ansuann,亞鉛線,a-iân-suànn,
426,antah,安搭,an-tah,
427,antann,安打,an-tánn,
428,ante,案底,àn-té/àn-tué,
429,anthai,安胎,an-thai,
430,antheh,安宅,an-the̍h,
431,anthong,安通,An-thong,附錄
432,anthoo,安土,an-thóo,
433,anti,安置,an-tì,
434,antia,俺爹,,
435,anting,安定,an-tīng,
436,antinghiong,安定鄉,,
437,antse,俺姊,,
438,antshah,安插,an-tshah,
439,antshng,安床,an-tshn̂g,
440,antsiau,按照,àn-tsiàu,
441,antsing,安靜,an-tsīng,
442,antsing,案情,àn-tsîng,
443,antsir,番薯,,
444,antsng,安裝,an-tsong,
445,antsong,安葬,an-tsòng,
446,antsong,安裝,an-tsong,
447,antsoo,俺祖,,
448,antsuan,安全,an-tsuân,
449,antsuankam,安全感,,
450,antsuann,按怎,,
451,antsuanniunn,按怎樣,án-tsuánn-iūnn,
452,antue,案底,àn-té/àn-tué,
453,antun,安頓,,
454,anui,安慰,an-uì,
455,anun,安穩,an-ún,
456,aoa,暗學仔,àm-o̍h-á,
457,apa,阿爸,a-pah,
458,apa,盒仔,a̍p-á,
459,apa,鴨婆仔,,
460,apah,阿爸,a-pah,
461,apapiann,盒仔餅,a̍p-á-piánn,
462,apeh,阿伯,a-peh,
463,aph,亞鉛鉼,a-iân-phiánn,
464,aph,後壁鄉,,
465,aphian,鴉片,a-phiàn,
466,aphiansian,鴉片仙,a-phiàn-sian,
467,aphs,鴉片仙,a-phiàn-sian,
468,aphs,齆鼻聲,àng-phīnn-siann,
469,apkb,哀爸叫母,ai-pē-kiò-bú,
470,apkh,安平區,An-pîng-khu,附錄
471,apl,後壁寮,,附錄
472,aplik,壓力,ap-li̍k,
473,apo,阿婆,a-pô,
474,appik,壓迫,ap-pik,
475,apsok,壓縮,ap-sok,
476,apt,安平鎮,An-pîng-tìn,附錄
477,apt,阿不倒,,
478,apta,阿不倒仔,a-put-tó-á,
479,apts,𧌄蜅蠐,am-poo-tsê,
480,aptsa,𧌄蜅蠐仔,,
481,aptse,壓制,ap-tsè,
482,aptsh,後壁厝,Āu-piah-tshù,附錄
483,aptsh,𧌄蜅蠐,am-poo-tsê,
484,aputtau,阿不倒,,
485,aputto,阿不倒,,
486,aputtoa,阿不倒仔,a-put-tó-á,
487,aputtorha,阿不倒仔,a-put-tó-á,
488,as,亞鉛線,a-iân-suànn,
489,asa,暗時仔,,
490,asa,頷垂仔,,
491,asang,阿桑,a-sáng,
492,asapuhluh,阿沙不魯,a-sa-puh-luh,
493,asb,漚屎面,àu-sái-bīn,
494,ase,阿西,a-se,
495,asgh,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
496,ash,嘔心血,áu-sim-hiat,
497,asi,也是,iā-sī,
498,asi,猶是,iáu sī,
499,asia,阿舍,a-sià,
500,asiakiann,阿舍囝,a-sià-kiánn,
501,asjh,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
502,ask,阿舍囝,a-sià-kiánn,
503,asl,後世人,āu-sì-lâng,
504,aslh,紅十字會,Âng-si̍p-jī-huē/Âng-si̍p-lī-huē,
505,aso,阿嫂,a-só,
506,asor,阿嫂,a-só,
507,asp,後山埤,Āu-suann-pi,附錄
508,asp,暗毿病,àm-sàm-pēnn/àm-sàm-pīnn,
509,aspl,阿沙不魯,a-sa-puh-luh,
510,ass,暗趖趖,àm-sô-sô,
511,ata,阿啄仔,a-tok-á,
512,ata,紅豆仔,âng-tāu-á,
513,ata,暗袋仔,àm-tē-á,
514,ata,楬仔,at-á,
515,atabu,阿罩霧,A-tà-bū,附錄
516,atahe,阿貼的,,附錄
517,atam,遏泔,at-ám,
518,atangpenninn,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,附錄
519,atangpinninn,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,附錄
520,atb,阿罩霧,A-tà-bū,附錄
521,ate,阿貼的,,附錄
522,ath,安定鄉,,附錄
523,atha,紅帖仔,âng-thiap-á,
524,atha,暗頭仔,àm-thâu-á,
525,athai,亞太,A-thài,
526,aths,紅頭山,Âng-thâu-suann,附錄
527,aths,紅頭嶼,Âng-thâu-sū,附錄
528,athtsh,後頭厝,āu-thâu-tshù,
529,atia,阿爹,a-tia,
530,atiunn,阿丈,a-tiūnn,
531,atoka,阿啄仔,a-tok-á,
532,atongpenninn,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,附錄
533,atongpinninn,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,附錄
534,atpi,亞東醫院,A-tang Pēnn-īnn/A-tang Pīnn-īnn,附錄
535,atsa,阿叔仔,a-tsik-á,
536,atsa,腌臢,a-tsa,
537,atsam,腌臢,a-tsa,
538,atse,阿姊,a-tsí,
539,atshath,紅蔥仔頭,âng-tshang-á-thâu,
540,atshn,紅樹林,Âng-tshiū-nâ,附錄
541,atshp,後柴耙,,附錄
542,atshp,遏手把,at-tshiú-pà,
543,atshs,後出世,āu-tshut-sì,
544,atshs,紅菜色,,
545,atshth,紅菜頭,âng-tshài-thâu,
546,atshth,紅蔥頭,,
547,atsi,阿姊,a-tsí,
548,atsi,按怎樣,án-tsuánn-iūnn,
549,atsiang,阿將,,
550,atsik,阿叔,a-tsik,
551,atsika,阿叔仔,a-tsik-á,
552,atsim,阿嬸,a-tsím,
553,atsiu,亞洲,A-tsiu,
554,atsk,安全感,,
555,atsoo,阿祖,a-tsóo,
556,att,懊嘟嘟,àu-tū-tū,
557,attshiu,握手,ak-tshiú,
558,attshiupa,遏手把,at-tshiú-pà,
559,aua,後仔,,
560,aua,甌仔,au-á,
561,aua,𧌄蝛仔,,
562,auban,拗蠻,áu-bân,
563,aube,後尾,,
564,aubea,後尾仔,,
565,aubemng,後尾門,,
566,aubi,歐美,,
567,aubin,後面,āu-bīn,
568,aubing,歐盟,Au-bîng,
569,aubo,後母,āu-bú,
570,aubobin,後母面,āu-bú-bīn,
571,auboo,後某,āu-bóo,
572,aubu,後母,āu-bú,
573,aububin,後母面,āu-bú-bīn,
574,aubue,後尾,,
575,aubuea,後尾仔,,
576,aubuemng,後尾門,,
577,augehlit,後月日,āu gue̍h-ji̍t/āu ge̍h-li̍t,
578,augit,後日,,
579,auguehjit,後月日,āu gue̍h-ji̍t/āu ge̍h-li̍t,
580,auhe,漚貨,àu huè/àu hè,
581,auhiantai,後現代,,
582,auhong,嘔紅,áu-hông,
583,auhue,漚貨,àu huè/àu hè,
584,auhueh,嘔血,áu-hueh/áu-huih,
585,auhuih,嘔血,áu-hueh/áu-huih,
586,auiah,後驛,āu-ia̍h,
587,auiong,歐陽,Au-iông,附錄
588,auj,漚鬱熱,àu-ut-jua̍h/àu-ut-lua̍h,
589,aujit,後日,,
590,aujita,後日仔,,
591,aukha,後跤,āu-kha,
592,aukheh,漚客,àu-kheh,
593,aukhin,後勤,āu-khîn/āu-khûn,
594,aukhirn,後勤,āu-khîn/āu-khûn,
595,aukhok,後擴,āu-khok,
596,aukhun,後勤,āu-khîn/āu-khûn,
597,aukhutkhe,後堀溪,Āu-khut-khe,附錄
598,auki,後期,,附錄
599,aukiamtshai,漚鹹菜,au-kiâm-tshài,
600,aukogeh,後個月,āu kò gue̍h/āu kò ge̍h,
601,aukogueh,後個月,āu kò gue̍h/āu kò ge̍h,
602,aul,漚鬱熱,àu-ut-jua̍h/àu-ut-lua̍h,
603,aulai,後來,āu--lâi,
604,aulang,凹浪,Āu-lâng,附錄
605,aulang,後龍,Āu-lâng,附錄
606,aulang,後壟,Āu-lâng,附錄
607,aulangkhe,後龍溪,Āu-lâng-khe,附錄
608,aulangtin,後龍鎮,Āu-lâng-tìn,附錄
609,auli,后里,Āu-lí,附錄
610,aulihiong,后里鄉,,附錄
611,aulit,後日,,
612,auliu,後鈕,āu-liú,
613,aun,亞運,A-ūn,
614,aunau,懊惱,àu-náu,
615,aunge,後勁,Āu-ngē,附錄
616,auni,後年,,
617,aupai,後擺,āu-pái,
618,aupe,後爸,āu-pē,
619,aupiah,後壁,āu-piah,
620,aupiahhiong,後壁鄉,,
621,aupiahliau,後壁寮,,
622,aupiahtshu,後壁厝,Āu-piah-tshù,附錄
623,aupoo,拗裒,áu-pôo,
624,aupoo,後步,,
625,aupue,後輩,hiō-puè,
626,ausaibin,漚屎面,àu-sái-bīn,
627,ausik,漚色,àu-sik,
628,ausik,歐式,Au-sik,
629,ausilang,後世人,āu-sì-lâng,
630,ausimhiat,嘔心血,áu-sim-hiat,
631,ausiok,後續,,
632,ausiu,後岫,āu-siū,
633,ausuann,後山,āu-suann,
634,ausuannpi,後山埤,Āu-suann-pi,附錄
635,autai,後代,āu-tāi,
636,autai,後臺,,
637,autau,後斗,,
638,authau,後頭,,
639,authautshu,後頭厝,āu-thâu-tshù,
640,autinn,喉滇,âu-tīnn,
641,autiunn,後場,āu-tiûnn,
642,autsan,後齻,āu-tsan,
643,autse,後坐,āu-tsē,
644,autshape,後柴耙,,
645,autshiu,後手,,
646,autshua,後娶,,
647,autshutsi,後出世,āu-tshut-sì,
648,autsia,後者,hiō-tsiá,
649,autsik,後叔,āu-tsik,
650,autsing,喉鐘,âu-tsing,
651,autsiu,歐洲,,
652,autsng,後庄,Āu-tsng,附錄
653,autso,後座,āu-tsō,
654,autsua,拗紙,áu-tsuá,
655,aututu,懊嘟嘟,àu-tū-tū,
656,auuan,拗彎,áu-uan,
